Country,Year,Status,Life_expectancy,Adult_Mortality,infant_deaths,Alcohol,percentage_expenditure,Hepatitis_B,Measles,BMI,under_five_deaths,Polio,Total_expenditure,Diphtheria,HIV/AIDS,GDP,Population,thinness__1_19_years,thinness_5_9_years,Income_composition_of_resources,Schooling,Disease_Name,Disease_Category,Prevalence_Rate_(%),Incidence_Rate_(%),Mortality_Rate_(%),Age_Group,Gender,Population_Affected,Healthcare_Access_(%),Doctors_per_1000,Hospital_Beds_per_1000,Treatment_Type,Average_Treatment_Cost_(USD),Availability_of_Vaccines/Treatment,Recovery_Rate_(%),DALYs,Improvement_in_5_Years_(%),Per_Capita_Income_(USD),Education_Index,Urbanization_Rate_(%),age,sex,cp,trestbps,chol,fbs,restecg,thalach,exang,oldpeak,slope,ca,thal,target
Germany,2001,Developed,78.3,92.0,3,12.46,4057.637383,86.0,6024,55.6,4,96.0,1.15,93.0,0.1,23687.31689,82349925.0,1.2,1.1,0.86,16.2,Polio,Bacterial,0.82,2.97,6.55,61+,Male,610828,74.65,2.05,4.93,Medication,34870,No,91.89,2939,9.2,11079,0.75,58.62,61,1,0,138,166,0,0,125,1,3.6,1,1,2,0
Indonesia,2005,Developing,67.2,19.0,163,0.06,5.381782562,65.0,15853,19.0,201,79.0,2.79,72.0,0.1,126.928834,22671273.0,1.9,1.9,0.629,11.1,Malaria,Chronic,14.28,11.81,8.32,61+,Other,30343,91.2,3.81,2.95,Surgery,41317,No,77.4,4805,9.14,77496,0.78,47.36,61,1,3,134,234,0,1,145,0,2.6,1,2,2,0
Saudi Arabia,2013,Developing,74.3,89.0,8,0.09,2047.113102,98.0,1164,66.4,9,98.0,4.25,98.0,0.1,24934.38614,12753375.120052494,7.6,7.5,0.83,15.2,Alzheimer's Disease,Infectious,4.14,2.6,9.75,36-60,Male,342028,74.16,1.58,6.9,Vaccination,37140,No,82.31,3890,2.55,65423,0.65,29.69,57,1,0,130,131,0,1,115,1,1.2,1,1,3,0
Germany,2008,Developed,79.9,8.0,2,11.36,8285.264655,87.0,917,59.0,3,95.0,1.39,96.0,0.1,45699.19832,821197.0,1.1,1.1,0.903,16.6,Hepatitis,Neurological,1.64,1.97,3.88,36-60,Female,261510,54.17,1.22,6.99,Medication,3783,Yes,88.94,4750,4.58,56638,0.72,32.47,54,1,0,140,239,0,1,160,0,1.2,2,0,2,1
Nigeria,2007,Developing,55.0,388.0,542,9.55,104.4746444,42.0,2613,2.4,863,54.0,4.47,42.0,5.2,1136.829645,14641724.0,12.3,12.3,0.477,9.1,Leprosy,Genetic,15.9,8.37,5.29,36-60,Other,464176,77.38,1.9,1.7,Therapy,2008,No,81.44,3018,1.44,57287,0.69,35.43,46,0,1,105,204,0,1,172,0,0.0,2,0,2,1
Indonesia,2012,Developing,68.5,183.0,129,0.08,254.4688257,83.0,15489,24.7,154,84.0,2.9,83.0,0.3,3687.953996,248883232.0,1.5,1.4,0.669,12.6,Parkinson's Disease,Infectious,13.31,4.2,2.97,61+,Other,209396,97.07,3.51,0.57,Vaccination,43329,No,72.85,1806,9.35,95760,0.82,28.79,68,1,2,180,274,1,0,150,1,1.6,1,0,3,0
Canada,2003,Developing,79.7,78.0,2,7.7,4687.845565,14.0,15,6.0,2,88.0,9.54,91.0,0.1,28172.14883,31676.0,0.5,0.4,0.877,15.8,Hepatitis,Neurological,7.9,14.44,4.17,36-60,Other,41630,61.93,2.85,4.92,Therapy,22706,Yes,71.78,527,9.54,57240,0.49,37.49,41,1,1,120,157,0,1,182,0,0.0,2,0,2,1
Italy,2001,Developed,79.8,75.0,2,9.69,3.1222302,95.0,0,55.7,3,96.0,8.11,93.0,0.1,24.819,569741.0,0.5,0.5,0.828,14.9,Rabies,Respiratory,0.76,0.33,1.23,36-60,Female,532227,79.89,2.05,5.73,Surgery,40706,Yes,98.99,1844,7.31,13513,0.77,62.92,59,1,2,126,218,1,1,134,0,2.2,1,1,1,0
Turkey,2012,Developing,74.8,112.0,19,1.54,20.75120211,97.0,349,63.7,22,97.0,5.24,97.0,0.1,1172.3843,74569867.0,4.9,4.7,0.75,14.3,Dengue,Cardiovascular,16.96,6.54,1.41,36-60,Female,692569,53.7,2.24,6.98,Surgery,2655,No,64.7,2324,9.33,7626,0.49,67.35,54,1,0,120,188,0,1,113,0,1.4,1,1,3,0
Canada,2013,Developing,81.8,67.0,2,8.2,9733.228019,55.0,83,65.8,2,91.0,1.67,91.0,0.1,52413.72116,35155451.0,0.5,0.5,0.909,15.9,Influenza,Chronic,2.76,4.61,4.25,36-60,Other,695951,55.2,3.6,3.94,Medication,42717,Yes,55.8,2662,6.06,28403,0.62,21.39,54,1,1,108,309,0,1,156,0,0.0,2,0,3,1
Japan,2009,Developed,83.0,64.0,3,7.09,899.1785285,80.94046121593291,741,26.4,4,99.0,9.51,97.0,0.1,4855.17564,12847.0,1.8,1.6,0.881,15.0,Polio,Cardiovascular,3.05,14.46,4.77,61+,Male,760537,53.14,3.3,6.35,Vaccination,44922,No,62.04,4290,7.57,20089,0.82,30.11,71,0,1,160,302,0,1,162,0,0.4,2,2,2,1
Indonesia,2002,Developing,66.7,189.0,177,0.05,43.17867291,63.0,14492,16.7,222,8.0,2.27,7.0,0.1,899.5556857,2175859.0,11.0,11.1,0.608,10.6,Cholera,Neurological,10.87,12.0,7.69,36-60,Other,949467,60.66,3.67,9.36,Medication,27556,Yes,94.48,3968,3.77,47991,0.58,44.28,41,1,2,112,250,0,1,179,0,0.0,2,0,2,1
Canada,2001,Developing,79.4,8.0,2,7.6,3665.089703,80.94046121593291,34,58.5,2,88.0,9.1,89.0,0.1,23691.59472,31819.0,0.5,0.4,0.867,15.8,Leprosy,Cardiovascular,2.38,13.92,3.89,36-60,Female,418754,58.63,3.04,9.23,Surgery,13012,No,67.76,3210,9.96,13930,0.49,36.96,41,1,1,120,157,0,1,182,0,0.0,2,0,2,1
Australia,2006,Developed,81.2,66.0,1,10.31,6187.062017,95.0,0,62.0,2,92.0,8.49,92.0,0.1,36118.28381,26979.0,0.7,0.6,0.915,20.3,Diabetes,Metabolic,12.29,13.0,1.51,36-60,Other,148528,69.33,3.18,9.33,Surgery,24703,No,72.86,773,1.69,89700,0.75,82.84,53,1,2,130,197,1,0,152,0,1.2,0,0,2,1
Mexico,2009,Developing,75.7,13.0,36,5.27,881.7364327,95.0,0,59.4,42,95.0,6.6,95.0,0.1,7748.12331,11555228.0,1.7,1.6,0.738,12.5,Cholera,Metabolic,11.8,11.81,0.93,61+,Female,524392,69.66,3.47,8.93,Vaccination,44395,Yes,54.86,4147,7.85,40426,0.59,36.03,66,0,3,150,226,0,1,114,0,2.6,0,0,2,1
India,2012,Developing,67.3,19.0,1100,3.1,64.96964491,73.0,18668,17.0,1400,79.0,4.39,82.0,0.2,1446.98541,126365852.0,26.9,27.6,0.59,11.3,Tuberculosis,Respiratory,14.6,2.73,3.05,36-60,Other,687534,91.85,4.05,8.84,Medication,26520,No,96.67,3186,3.3,70361,0.82,50.88,51,1,2,100,222,0,1,143,1,1.2,1,0,2,1
Italy,2000,Developed,79.4,77.0,3,9.78,31.50582204,94.0,1457,55.0,3,97.0,7.91,87.0,0.1,251.2426,5694218.0,0.5,0.5,0.823,14.8,Malaria,Bacterial,18.83,6.47,9.5,36-60,Female,363701,54.29,1.33,5.55,Vaccination,16033,No,72.57,1325,3.12,69877,0.55,21.46,48,1,1,110,229,0,1,168,0,1.0,0,0,3,0
Argentina,2011,Developing,75.7,12.0,9,8.11,1504.329462,91.0,3,6.4,10,93.0,5.89,91.0,0.1,12726.9836,41656879.0,1.0,0.9,0.816,17.1,Measles,Respiratory,1.91,1.67,4.9,61+,Female,40276,75.81,4.17,6.5,Vaccination,2280,No,66.19,2031,3.57,97317,0.5,67.09,64,0,0,130,303,0,1,122,0,2.0,1,2,2,1
Japan,2007,Developed,82.6,67.0,3,7.29,6599.995239,80.94046121593291,0,25.4,4,97.0,8.25,98.0,0.1,35275.22843,1281.0,1.8,1.5,0.877,15.0,HIV/AIDS,Autoimmune,6.19,2.23,7.66,36-60,Female,609758,90.37,1.42,7.63,Surgery,10985,Yes,52.08,4204,5.05,77701,0.73,29.52,38,1,2,138,175,0,1,173,0,0.0,2,4,2,1
Germany,2014,Developed,89.0,69.0,2,11.03,941.7562909,88.0,443,61.9,3,94.0,11.3,95.0,0.1,4792.65288,89825.0,1.1,1.1,0.92,17.0,Cancer,Cardiovascular,18.81,5.83,6.98,61+,Other,887449,66.88,2.02,1.1,Surgery,35386,No,71.59,4237,3.8,76306,0.62,40.81,68,0,2,120,211,0,0,115,0,1.5,1,0,2,1
Turkey,2013,Developing,75.2,19.0,17,1.41,188.1440348,97.0,7405,64.5,20,98.0,5.38,98.0,0.1,12542.93565,75787333.0,4.9,4.7,0.754,14.4,Rabies,Neurological,7.57,6.55,3.2,36-60,Male,285933,55.21,1.85,3.97,Medication,35804,Yes,79.98,2317,0.28,3971,0.53,64.98,54,1,0,140,239,0,1,160,0,1.2,2,0,2,1
Turkey,2004,Developing,72.0,132.0,33,1.35,1.132766775,77.0,8927,56.8,39,85.0,5.37,85.0,0.1,64.72953,677855.0,5.1,4.9,0.675,12.0,Ebola,Autoimmune,12.92,6.51,8.91,36-60,Other,848221,88.41,3.77,4.48,Therapy,46044,No,84.91,3534,2.94,78562,0.68,32.14,46,1,2,150,231,0,1,147,0,3.6,1,0,2,0
Turkey,2011,Developing,74.5,114.0,20,1.53,1275.877569,96.0,111,62.8,23,97.0,5.29,97.0,0.1,11341.13395,7349455.0,4.9,4.7,0.737,13.8,Polio,Cardiovascular,8.47,10.61,7.24,36-60,Female,349911,94.83,4.78,6.19,Surgery,1188,No,83.29,4581,4.75,77943,0.45,33.65,42,1,2,120,240,1,1,194,0,0.8,0,0,3,1
Japan,2011,Developed,82.5,64.0,3,7.39,9498.729062,80.94046121593291,434,27.4,4,96.0,1.7,97.0,0.1,48167.99727,127833.0,1.9,1.6,0.884,15.1,Measles,Bacterial,15.21,14.31,7.52,61+,Other,191761,57.2,2.59,7.55,Surgery,9011,Yes,84.55,3905,7.56,51555,0.82,44.17,62,0,0,140,394,0,0,157,0,1.2,1,0,2,1
India,2005,Developing,64.4,211.0,1500,1.27,3.5096369,8.0,36711,13.5,2000,65.0,4.28,65.0,0.3,77.819,1144118674.0,27.2,28.1,0.526,9.4,Rabies,Viral,16.57,4.39,5.69,36-60,Other,109734,84.21,4.98,5.37,Surgery,31212,No,52.38,2051,6.7,86558,0.87,62.28,51,1,2,100,222,0,1,143,1,1.2,1,0,2,1
Turkey,2009,Developing,73.9,118.0,23,1.4,106.9482898,94.0,4,61.1,27,96.0,6.8,96.0,0.1,936.499911,71339185.0,4.9,4.8,0.709,12.5,Cancer,Infectious,3.83,11.89,4.5,36-60,Other,989310,69.53,3.76,5.21,Surgery,22027,No,80.5,2436,1.08,58064,0.59,25.86,52,0,2,136,196,0,0,169,0,0.1,1,0,2,1
Japan,2008,Developed,82.7,66.0,3,7.11,7313.175418,80.94046121593291,11015,25.9,4,98.0,8.6,98.0,0.1,39339.29757,12863.0,1.8,1.5,0.88,15.0,Leprosy,Chronic,16.65,3.95,8.93,61+,Other,840487,84.42,2.2,0.76,Therapy,33943,Yes,96.13,3734,1.37,72277,0.48,55.28,64,1,2,125,309,0,1,131,1,1.8,1,0,3,0
France,2008,Developing,89.0,88.0,3,11.9,7002.785925,47.0,604,59.1,3,98.0,1.57,98.0,0.1,45413.6571,6437499.0,0.6,0.6,0.877,16.1,Leprosy,Genetic,14.09,5.94,8.17,36-60,Other,520004,93.36,3.96,9.82,Medication,46066,Yes,76.28,267,3.56,21475,0.74,26.44,58,1,1,125,220,0,1,144,0,0.4,1,4,3,1
Brazil,2001,Developing,71.0,179.0,103,7.13,149.4802091,91.0,1,44.5,118,99.0,7.19,98.0,0.1,3146.95177,1777567.0,3.4,3.4,0.685,14.3,COVID-19,Neurological,12.52,11.92,4.76,36-60,Other,998256,50.02,1.86,6.88,Vaccination,7915,Yes,90.86,2800,4.79,70707,0.85,60.22,54,1,0,124,266,0,0,109,1,2.2,1,1,3,0
Argentina,2013,Developing,76.0,119.0,8,8.28,1001.796332,94.0,0,61.6,10,99.0,4.99,94.0,0.1,12976.63642,42539925.0,1.0,0.9,0.823,17.3,HIV/AIDS,Viral,2.13,7.85,2.24,61+,Other,103795,71.69,2.1,8.14,Medication,25096,No,92.54,4661,2.78,64384,0.65,50.84,64,1,0,120,246,0,0,96,1,2.2,0,1,2,0
South Africa,2013,Developing,69.0,371.0,43,7.34,978.5905287,7.0,25,49.5,54,73.0,8.78,73.0,4.5,6876.953821,53311955.61,5.4,6.5,0.652,12.8,Malaria,Parasitic,17.05,9.39,6.45,36-60,Other,238475,75.17,0.61,9.32,Therapy,6126,Yes,87.73,23,8.99,1605,0.4,59.26,43,0,2,122,213,0,1,165,0,0.2,1,0,2,1
Australia,2002,Developed,79.9,73.0,1,9.84,46.3871819,95.0,32,59.6,2,92.0,8.39,92.0,0.1,281.81763,196514.0,0.7,0.7,0.902,20.1,Dengue,Viral,13.11,10.28,6.19,36-60,Female,880876,63.73,4.18,5.76,Surgery,36816,Yes,54.82,243,9.32,45896,0.56,77.75,54,1,2,120,258,0,0,147,0,0.4,1,0,3,1
Argentina,2005,Developing,74.9,127.0,11,7.53,96.16653429,88.0,0,56.9,12,95.0,6.85,98.0,0.1,576.883829,39145488.0,1.1,1.0,0.78,16.3,Zika,Infectious,16.55,4.13,3.45,36-60,Female,232932,61.36,3.02,6.05,Vaccination,35446,No,94.09,2706,1.46,69686,0.66,21.05,41,0,1,126,306,0,1,163,0,0.0,2,0,2,1
Argentina,2009,Developing,75.6,126.0,10,8.33,1398.042623,94.0,3,59.2,11,97.0,7.63,94.0,0.1,8161.36966,479947.0,1.0,0.9,0.794,16.5,Cholera,Neurological,2.62,14.58,7.95,36-60,Male,604569,67.69,1.72,9.5,Surgery,16065,No,53.97,1634,0.16,77443,0.67,42.85,45,1,0,115,260,0,0,185,0,0.0,2,0,2,1
Italy,2011,Developed,82.0,6.0,2,6.98,5439.691769,96.0,5189,61.5,2,96.0,9.27,96.0,0.1,38334.68477,59379449.0,0.5,0.5,0.872,16.4,Zika,Cardiovascular,12.32,9.71,5.32,61+,Female,650105,51.17,3.98,4.18,Vaccination,21717,No,63.33,3878,1.07,1967,0.61,41.81,61,1,0,120,260,0,1,140,1,3.6,1,1,3,0
South Africa,2015,Developing,62.9,328.0,42,4.602860787172012,0.0,75.0,17,51.1,52,75.0,5.9381895280236,75.0,3.6,5769.77258,5511976.68,4.4,5.3,0.665,13.0,Rabies,Respiratory,7.38,13.66,6.34,36-60,Male,767914,63.39,1.51,0.72,Therapy,17482,No,72.05,3298,0.07,11896,0.57,77.64,58,1,0,125,300,0,0,171,0,0.0,2,2,3,0
Italy,2007,Developed,81.3,63.0,2,8.37,5228.821581,97.0,321,59.4,2,97.0,8.48,97.0,0.1,37698.78573,5843831.0,0.5,0.5,0.862,16.1,Zika,Cardiovascular,2.47,12.66,4.86,36-60,Female,670806,99.04,0.98,4.61,Vaccination,5269,No,71.48,2318,8.26,10158,0.68,39.74,58,1,0,150,270,0,0,111,1,0.8,2,0,3,0
Indonesia,2007,Developing,67.5,19.0,154,0.06,102.633435,76.0,19456,2.5,188,77.0,3.1,73.0,0.2,1855.93915,232989141.0,1.8,1.7,0.638,11.0,Leprosy,Genetic,7.61,4.24,2.42,36-60,Other,703124,70.63,1.67,3.5,Medication,18416,Yes,89.17,3593,3.45,13473,0.66,37.63,51,1,2,94,227,0,1,154,1,0.0,2,1,3,1
Turkey,2011,Developing,74.5,114.0,20,1.53,1275.877569,96.0,111,62.8,23,97.0,5.29,97.0,0.1,11341.13395,7349455.0,4.9,4.7,0.737,13.8,Diabetes,Metabolic,17.08,13.48,7.73,36-60,Female,824653,80.84,2.2,5.89,Therapy,24270,No,85.8,2753,3.63,13791,0.63,39.39,42,0,0,102,265,0,0,122,0,0.6,1,0,2,1
Australia,2009,Developed,81.7,66.0,1,10.62,7172.275229,94.0,104,63.4,1,92.0,9.5,92.0,0.1,42742.99898,216917.0,0.7,0.6,0.925,19.1,Asthma,Parasitic,19.53,6.49,6.99,36-60,Other,480608,59.89,4.11,8.18,Medication,18987,No,51.88,3119,4.19,52807,0.74,25.01,45,1,3,110,264,0,1,132,0,1.2,1,0,3,0
Turkey,2015,Developing,75.8,16.0,15,4.602860787172012,0.0,97.0,342,66.1,18,97.0,5.9381895280236,97.0,0.1,1979.52569,78271472.0,4.9,4.8,0.764,14.5,Cancer,Metabolic,2.9,7.16,6.51,61+,Male,522804,80.08,4.71,4.69,Vaccination,40766,Yes,93.36,3858,3.42,54210,0.61,67.95,63,1,0,140,187,0,0,144,1,4.0,2,2,3,0
Nigeria,2013,Developing,53.2,367.0,498,8.3,194.2032879,46.0,52852,24.1,773,46.0,3.7,46.0,3.9,2996.96432,17182933.0,1.4,1.2,0.514,9.8,Dengue,Genetic,0.17,0.41,9.46,36-60,Male,693289,84.53,2.88,4.39,Surgery,10559,Yes,72.95,242,2.23,27093,0.86,87.2,56,1,1,130,221,0,0,163,0,0.0,2,0,3,1
Australia,2005,Developed,81.0,67.0,1,10.3,579.1331637,95.0,10,61.5,2,92.0,8.45,92.0,0.1,3416.71483,23948.0,0.7,0.6,0.91,20.3,Rabies,Infectious,3.58,4.91,4.9,61+,Other,940210,86.53,3.74,1.31,Surgery,17838,Yes,53.84,4914,1.05,71634,0.8,22.24,63,1,0,130,330,1,0,132,1,1.8,2,3,3,0
Mexico,2003,Developing,75.0,127.0,46,4.88,781.2062828,98.0,44,54.9,55,98.0,6.2,98.0,0.1,6751.998987,1564453.0,1.9,1.8,0.708,11.9,Ebola,Respiratory,6.85,7.23,1.21,36-60,Male,81883,84.44,3.6,2.82,Medication,13193,No,98.41,4630,3.98,49852,0.71,41.11,39,0,2,94,199,0,1,179,0,0.0,2,0,2,1
Germany,2010,Developed,81.0,76.0,2,11.2,7584.078579,88.0,780,59.9,3,94.0,11.25,95.0,0.1,41785.55691,8177693.0,1.1,1.1,0.907,16.7,Hypertension,Respiratory,1.72,0.61,1.02,61+,Other,281365,80.16,1.96,4.22,Therapy,29005,Yes,89.06,2624,8.15,42448,0.64,74.93,67,1,0,120,229,0,0,129,1,2.6,1,2,3,0
Italy,2011,Developed,82.0,6.0,2,6.98,5439.691769,96.0,5189,61.5,2,96.0,9.27,96.0,0.1,38334.68477,59379449.0,0.5,0.5,0.872,16.4,Asthma,Viral,16.5,10.68,3.53,36-60,Male,107296,88.34,3.47,6.75,Therapy,29172,No,82.54,3093,4.7,75808,0.52,61.0,57,1,0,130,131,0,1,115,1,1.2,1,1,3,0
Canada,2003,Developing,79.7,78.0,2,7.7,4687.845565,14.0,15,6.0,2,88.0,9.54,91.0,0.1,28172.14883,31676.0,0.5,0.4,0.877,15.8,Leprosy,Chronic,2.29,11.17,9.18,19-35,Female,801530,93.33,0.62,5.6,Vaccination,11428,No,52.75,3742,6.2,27606,0.46,41.21,29,1,1,130,204,0,0,202,0,0.0,2,0,2,1
Saudi Arabia,2004,Developing,73.1,12.0,9,0.06,816.4795082,96.0,1880,59.4,11,96.0,3.58,96.0,0.1,11138.8746,12753375.120052494,7.2,7.3,0.754,12.3,Rabies,Infectious,6.28,8.2,2.92,36-60,Female,100245,77.34,2.52,5.13,Therapy,32403,No,72.75,2510,4.67,99103,0.46,54.28,44,1,2,140,235,0,0,180,0,0.0,2,0,2,1
Canada,2007,Developing,85.0,74.0,2,8.3,7946.743581,14.0,101,62.5,2,9.0,9.83,94.0,0.1,44544.5268,32887928.0,0.5,0.4,0.894,15.8,Hepatitis,Respiratory,1.1,7.76,1.48,36-60,Other,253819,97.97,1.52,9.31,Medication,35347,No,96.34,3817,5.29,29136,0.69,73.4,60,0,2,102,318,0,1,160,0,0.0,2,1,2,1
France,2007,Developing,89.0,89.0,3,12.2,64.73714894,42.0,39,58.6,3,99.0,1.45,98.0,0.1,416.58397,6416229.0,0.6,0.6,0.873,16.1,Dengue,Bacterial,12.86,11.06,8.28,61+,Other,48638,95.4,3.18,7.75,Surgery,3783,Yes,76.32,3466,7.91,52406,0.63,38.38,62,0,0,138,294,1,1,106,0,1.9,1,3,2,0
South Africa,2008,Developing,55.3,473.0,50,8.19,780.0336423,76.0,39,45.7,75,77.0,7.75,79.0,23.5,5786.59972,49557573.3,8.9,1.7,0.616,12.9,Leprosy,Chronic,5.25,5.92,1.33,36-60,Male,104253,50.12,3.04,9.11,Therapy,1664,Yes,51.64,86,0.24,21764,0.72,80.68,45,1,0,104,208,0,0,148,1,3.0,1,0,2,1
Canada,2005,Developing,81.0,76.0,2,8.0,6333.177967,14.0,6,61.3,2,93.0,9.57,93.0,0.1,36189.58838,32312.0,0.5,0.4,0.886,15.8,Ebola,Chronic,14.26,7.2,8.47,36-60,Male,985680,80.18,2.02,9.51,Therapy,1457,No,57.22,2526,1.24,30861,0.67,63.1,40,1,3,140,199,0,1,178,1,1.4,2,0,3,1
Nigeria,2004,Developing,48.5,47.0,563,9.76,57.22555815,80.94046121593291,31521,18.8,907,43.0,4.33,33.0,5.4,648.815852,135393616.0,13.2,13.2,0.445,8.5,Dengue,Viral,15.08,2.39,0.74,61+,Other,575637,50.24,1.47,5.02,Vaccination,33889,Yes,52.21,1110,0.68,33439,0.75,80.78,66,0,2,146,278,0,0,152,0,0.0,1,1,2,1
Argentina,2006,Developing,75.2,127.0,11,7.75,961.1774676,84.0,0,57.5,12,92.0,6.68,91.0,0.1,5878.76127,3955889.0,1.1,0.9,0.782,16.1,Ebola,Viral,6.09,7.84,1.62,36-60,Male,299557,64.12,1.56,9.01,Therapy,15938,Yes,94.36,3208,8.4,21301,0.65,83.91,48,1,0,124,274,0,0,166,0,0.5,1,0,3,0
Brazil,2003,Developing,71.8,172.0,88,6.95,15.85781237,97.0,2,46.1,100,99.0,6.94,99.0,0.1,359.587582,182482149.0,3.3,3.3,0.699,14.8,Leprosy,Cardiovascular,14.6,2.17,8.32,61+,Female,322428,91.98,1.33,8.31,Therapy,45671,No,59.93,1492,9.38,12002,0.42,33.97,67,1,0,125,254,1,1,163,0,0.2,1,2,3,0
Japan,2011,Developed,82.5,64.0,3,7.39,9498.729062,80.94046121593291,434,27.4,4,96.0,1.7,97.0,0.1,48167.99727,127833.0,1.9,1.6,0.884,15.1,HIV/AIDS,Neurological,14.24,14.29,2.73,61+,Other,667336,53.78,1.64,5.96,Surgery,28421,No,51.67,1611,9.1,67891,0.69,58.29,63,1,0,130,330,1,0,132,1,1.8,2,3,3,0
Saudi Arabia,2001,Developing,72.8,17.0,10,0.05,710.4952397,95.0,155,56.9,12,97.0,4.49,97.0,0.1,8643.4944,12753375.120052494,7.3,7.3,0.742,12.0,Hepatitis,Genetic,6.99,8.94,3.33,36-60,Other,87458,76.39,3.37,1.73,Vaccination,27807,No,64.74,2833,7.11,59878,0.63,62.44,54,0,2,108,267,0,0,167,0,0.0,2,0,2,1
South Africa,2004,Developing,53.7,497.0,55,6.96,622.043809,76.0,830,42.9,83,73.0,7.93,74.0,29.7,4863.51688,4717.99,12.6,15.0,0.611,12.9,Rabies,Autoimmune,9.64,13.17,4.24,61+,Female,561686,55.06,1.98,7.04,Medication,45299,Yes,80.8,438,8.05,59295,0.89,62.8,68,1,2,180,274,1,0,150,1,1.6,1,0,3,0
Italy,2000,Developed,79.4,77.0,3,9.78,31.50582204,94.0,1457,55.0,3,97.0,7.91,87.0,0.1,251.2426,5694218.0,0.5,0.5,0.823,14.8,Zika,Chronic,8.96,3.58,7.71,61+,Male,729870,66.29,2.49,3.24,Surgery,38774,Yes,62.19,3931,0.73,14089,0.84,39.84,63,0,0,124,197,0,1,136,1,0.0,1,0,2,0
Argentina,2014,Developing,76.2,118.0,8,7.93,847.3717463,94.0,1,62.2,9,92.0,4.79,94.0,0.1,12245.25645,42981515.0,1.0,0.9,0.825,17.3,Polio,Parasitic,10.34,0.81,5.3,36-60,Other,78785,76.96,4.52,6.86,Therapy,32973,Yes,79.64,4113,5.63,45494,0.48,24.65,56,1,0,130,283,1,0,103,1,1.6,0,0,3,0
Germany,2003,Developed,78.5,9.0,3,11.92,582.6157028,9.0,779,56.6,4,96.0,1.62,97.0,0.1,3359.95215,82534176.0,1.1,1.1,0.872,16.3,Diabetes,Genetic,4.55,2.03,0.23,36-60,Other,908303,50.51,2.63,4.37,Surgery,17308,No,58.86,2806,1.29,53797,0.8,25.84,56,1,1,120,236,0,1,178,0,0.8,2,0,2,1
Germany,2004,Developed,79.1,86.0,3,11.83,5842.374765,88.0,121,57.1,3,96.0,1.37,96.0,0.1,34165.9343,8251626.0,1.1,1.1,0.877,16.4,Leprosy,Metabolic,4.65,4.52,2.98,36-60,Female,831795,64.95,2.39,6.89,Surgery,5073,No,88.54,2728,7.39,23081,0.87,31.12,47,1,0,112,204,0,1,143,0,0.1,2,0,2,1
France,2003,Developing,79.3,99.0,3,13.49,4572.441963,28.0,0,56.4,4,96.0,1.43,97.0,0.1,29691.18158,62244884.0,0.6,0.6,0.852,15.4,Rabies,Infectious,1.45,5.83,2.06,36-60,Male,136168,97.64,4.61,2.47,Vaccination,32117,Yes,61.2,2485,9.65,97929,0.4,74.76,51,1,2,100,222,0,1,143,1,1.2,1,0,2,1
Saudi Arabia,2002,Developing,72.9,15.0,10,0.05,688.0972667,97.0,311,57.7,11,95.0,4.28,95.0,0.1,8655.311531,12753375.120052494,7.3,7.3,0.745,12.1,Hepatitis,Infectious,3.87,14.88,1.23,36-60,Male,59611,78.97,0.74,1.41,Medication,43778,No,76.06,2048,3.78,16223,0.6,47.93,52,1,3,118,186,0,0,190,0,0.0,1,0,1,1
Brazil,2006,Developing,73.0,161.0,70,7.1,30.30374691,99.0,57,48.6,79,99.0,8.36,99.0,0.1,586.145975,18912412.0,3.1,3.1,0.698,13.8,Malaria,Genetic,10.86,13.15,2.45,36-60,Male,140616,90.0,4.69,3.46,Vaccination,29369,Yes,90.05,3384,6.67,6541,0.43,33.83,60,0,2,120,178,1,1,96,0,0.0,2,0,2,1
France,2003,Developing,79.3,99.0,3,13.49,4572.441963,28.0,0,56.4,4,96.0,1.43,97.0,0.1,29691.18158,62244884.0,0.6,0.6,0.852,15.4,Zika,Chronic,7.77,14.69,9.31,61+,Other,9338,58.24,3.61,7.92,Vaccination,42051,No,52.44,4316,6.75,79910,0.85,80.82,68,1,2,118,277,0,1,151,0,1.0,2,1,3,1
Nigeria,2000,Developing,47.1,45.0,576,9.23,22.48177606,80.94046121593291,212183,16.9,943,31.0,2.84,29.0,4.9,379.1193264,1223529.0,14.3,14.4,0.0,7.6,Polio,Respiratory,12.13,4.46,5.84,36-60,Female,555287,53.14,2.83,4.06,Therapy,20804,No,76.06,2018,0.78,71590,0.48,89.96,57,1,0,110,335,0,1,143,1,3.0,1,1,3,0
Japan,2015,Developed,83.7,55.0,2,4.602860787172012,0.0,80.94046121593291,35,29.0,3,99.0,5.9381895280236,96.0,0.1,34474.13736,127141.0,2.1,1.8,0.902,15.3,Hepatitis,Parasitic,16.19,10.87,5.25,36-60,Female,527303,50.28,0.86,4.7,Medication,36736,No,76.62,1718,4.39,73813,0.64,46.29,58,1,0,146,218,0,1,105,0,2.0,1,1,3,0
India,2014,Developing,68.0,184.0,957,3.07,86.52153895,79.0,79563,18.1,1200,84.0,4.69,85.0,0.2,1573.11889,1293859294.0,26.8,27.4,0.607,11.6,Diabetes,Infectious,10.91,5.79,5.11,36-60,Female,10661,72.75,0.82,2.66,Surgery,13254,No,58.61,1710,2.79,50748,0.7,35.7,41,1,2,130,214,0,0,168,0,2.0,1,0,2,1
